Date,Time,Open,High,Low,Close,Tick volume
2025.01.02,15:45:00,1.03682,1.03723,1.03623,1.03627,850
2025.01.02,16:00:00,1.03628,1.03709,1.03578,1.03579,1902
2025.01.02,16:15:00,1.03579,1.03594,1.03483,1.03487,1351
2025.01.02,16:30:00,1.03487,1.03604,1.03461,1.03581,1388
2025.01.02,16:45:00,1.03587,1.03628,1.03552,1.03627,1294
2025.01.02,17:00:00,1.03626,1.03666,1.03569,1.03629,1396
2025.01.02,17:15:00,1.0363,1.03701,1.03614,1.0362,1095
2025.01.02,17:30:00,1.0362,1.03647,1.0355,1.03557,1078
2025.01.02,17:45:00,1.03556,1.03572,1.03493,1.03515,964
2025.01.02,18:00:00,1.03514,1.03551,1.03514,1.03536,1118
2025.01.02,18:15:00,1.03536,1.03568,1.03499,1.03506,834
2025.01.02,18:30:00,1.03506,1.03506,1.03398,1.03405,1606
2025.01.02,18:45:00,1.03406,1.03419,1.03135,1.03168,3158
2025.01.02,19:00:00,1.03166,1.03324,1.03157,1.03309,1608
2025.01.02,19:15:00,1.03309,1.0334,1.03218,1.03218,1252
2025.01.02,19:30:00,1.03218,1.0325,1.0315,1.03238,1032
2025.01.02,19:45:00,1.03238,1.03322,1.03213,1.03321,922
2025.01.02,20:00:00,1.03321,1.03342,1.03271,1.03297,1191
2025.01.02,20:15:00,1.03297,1.03326,1.03266,1.03293,915
2025.01.02,20:30:00,1.03292,1.03314,1.03231,1.03246,1037
2025.01.02,20:45:00,1.03245,1.03275,1.03148,1.03182,1458
2025.01.02,21:00:00,1.03181,1.03236,1.03136,1.03175,1608
2025.01.02,21:15:00,1.03176,1.03219,1.03127,1.03179,1503
2025.01.02,21:30:00,1.03177,1.03296,1.03112,1.03244,2832
2025.01.02,21:45:00,1.03243,1.03243,1.03116,1.03133,2060
2025.01.02,22:00:00,1.03134,1.03144,1.03062,1.03106,1593
2025.01.02,22:15:00,1.03107,1.032,1.03078,1.03158,1980
2025.01.02,22:30:00,1.03159,1.03239,1.03101,1.03117,2011
2025.01.02,22:45:00,1.03116,1.03168,1.03021,1.03038,2006
2025.01.02,23:00:00,1.03037,1.03087,1.03009,1.03038,1985
2025.01.02,23:15:00,1.0304,1.03082,1.02809,1.02855,2596
2025.01.02,23:30:00,1.02855,1.02971,1.02817,1.02918,3159
2025.01.02,23:45:00,1.02917,1.02923,1.02725,1.02741,3499
2025.01.03,00:00:00,1.0274,1.02762,1.02237,1.02574,5362
